Processing window [17280,17304] of 17520 indices
Processing window [17304,17328] of 17520 indices
Processing window [17328,17352] of 17520 indices
Processing window [17352,17376] of 17520 indices
Processing window [17376,17400] of 17520 indices
Processing window [17400,17424] of 17520 indices
Processing window [17424,17448] of 17520 indices
Processing window [17448,17472] of 17520 indices
Processing window [17472,17496] of 17520 indices
Processing window [17496,17520] of 17520 indices
tensor(3133079) 7761360
Masked MSE: 3.5511350631713867
1.4366458654403687
0.027355384081602097
